ith_sess,session_id,navigate_click:0-4,cutscene_click:0-4,person_click:0-4,object_click:0-4,notification_click:0-4,observation_click:0-4,object_hover:0-4,map_hover:0-4,map_click:0-4,checkpoint:0-4,person_click:5-12,navigate_click:5-12,object_click:5-12,object_hover:5-12,cutscene_click:5-12,map_hover:5-12,notification_click:5-12,map_click:5-12,observation_click:5-12,checkpoint:5-12,navigate_click:13-22,person_click:13-22,cutscene_click:13-22,object_click:13-22,map_hover:13-22,object_hover:13-22,notification_click:13-22,map_click:13-22,observation_click:13-22,checkpoint:13-22,elapsed_time:0-4,event_index:0-4,elapsed_time:5-12,event_index:5-12,elapsed_time:13-22,event_index:13-22,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13,q14,q15,q16,q17,q18,num_correct,notebook_click:0-4,notebook_click:5-12,notebook_click:13-22
1824,21000214201944270,49,31,20,12,9,2.0,4.0,2.0,2,1.0,97,92,48,25.0,11,8.0,9,7,3,1,146,103,56,32,12.0,19.0,14,6,3,1,269113.0,134.0,762288,445,1533177,877,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,15,3.0,,
1825,21000214213390064,69,28,21,15,5,2.0,4.0,1.0,2,1.0,99,302,67,37.0,11,29.0,9,15,3,1,265,104,55,15,27.0,23.0,8,7,4,1,287575.0,147.0,1048589,732,1960010,1289,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,16,,6.0,16.0
1826,21000214240991060,91,37,29,19,9,3.0,4.0,2.0,2,1.0,150,166,49,20.0,14,12.0,9,8,5,1,399,149,78,29,15.0,21.0,10,10,8,1,231894.0,196.0,730723,665,1861838,1484,1,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,8,,25.0,48.0
1827,21000214265772668,72,31,19,12,8,,4.0,4.0,3,1.0,124,98,36,22.0,11,10.0,12,8,1,1,144,117,82,113,12.0,31.0,18,6,4,1,211433.0,159.0,64872162,506,65951262,1089,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,17,6.0,8.0,
1828,21000214272154670,81,59,18,10,7,,5.0,2.0,2,1.0,107,205,35,23.0,20,22.0,12,7,2,1,471,104,67,13,32.0,20.0,6,12,8,1,121450.0,184.0,464865,630,4767908,1410,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,10,,,7.0
1829,21000214331540770,137,29,20,10,5,3.0,4.0,1.0,2,1.0,106,159,30,12.0,12,23.0,9,21,3,1,294,106,64,24,20.0,18.0,10,7,4,1,251400.0,211.0,767816,594,1614016,1182,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,1,1,11,,,
1830,21000214383921676,74,36,21,15,8,,3.0,1.0,3,1.0,98,95,24,13.0,18,6.0,9,6,1,1,390,102,57,21,12.0,14.0,8,6,5,1,142330.0,161.0,665386,446,1531644,1129,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,15,,6.0,30.0
1831,21000214405870400,87,32,24,25,9,2.0,7.0,3.0,2,1.0,127,92,56,35.0,11,16.0,9,6,1,1,279,131,76,21,27.0,18.0,8,8,6,1,308567.0,193.0,794003,556,62409441,1189,0,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,1,1,8,2.0,,9.0
1832,21000214440834372,56,33,18,9,9,,2.0,2.0,2,1.0,93,98,61,32.0,12,13.0,9,8,2,1,229,113,59,31,9.0,19.0,8,7,4,1,171681.0,131.0,571215,468,1619262,993,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,1,11,,,10.0
1833,21000214533030820,43,27,18,11,8,,4.0,3.0,2,1.0,119,106,27,24.0,13,11.0,9,6,1,1,163,124,81,16,19.0,17.0,8,7,3,1,227134.0,116.0,642773,452,1401764,938,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,16,,7.0,5.0
1834,21000214535992748,74,27,30,32,5,3.0,12.0,4.0,2,1.0,104,80,181,60.0,11,10.0,9,8,4,1,243,127,58,31,46.0,33.0,16,17,5,1,528176.0,203.0,1535036,691,11504913,1327,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,7,14.0,12.0,24.0
1835,21000214592015868,110,31,21,18,12,2.0,4.0,3.0,3,1.0,98,127,40,27.0,11,9.0,9,8,5,1,445,129,61,37,46.0,28.0,8,21,4,1,329582.0,208.0,826096,549,2180179,1388,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,11,4.0,,22.0
1836,21000214593225530,89,27,22,12,11,2.0,8.0,4.0,3,1.0,100,89,45,32.0,11,12.0,12,8,4,1,227,112,57,22,24.0,21.0,8,9,6,1,380575.0,180.0,1071573,518,2286054,1077,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,15,2.0,11.0,36.0
1837,21000215111247132,243,31,26,13,9,10.0,5.0,2.0,4,1.0,131,203,27,15.0,14,17.0,9,8,4,1,300,125,74,15,21.0,15.0,8,11,4,1,355556.0,343.0,801662,784,1587994,1397,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,15,,2.0,3.0
1838,21000215163402550,68,42,18,8,5,,5.0,1.0,2,1.0,122,119,17,17.0,17,12.0,9,7,1,1,205,131,78,20,22.0,24.0,8,12,4,1,105954.0,149.0,355565,483,826064,1039,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,14,,,6.0
1839,21000215174467360,38,33,18,10,9,,4.0,3.0,3,1.0,114,86,29,26.0,11,4.0,9,6,2,1,300,135,80,31,74.0,26.0,13,21,5,1,193611.0,118.0,538737,421,1428635,1157,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,11,,,
1840,21000215185229732,35,31,19,11,9,2.0,3.0,,2,1.0,93,64,21,10.0,11,5.0,9,7,2,1,95,99,55,13,6.0,12.0,8,6,4,1,319892.0,116.0,775099,357,1877956,703,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,17,4.0,12.0,14.0
1841,21000215241966160,83,39,26,11,6,1.0,4.0,2.0,3,1.0,128,157,27,15.0,14,8.0,9,6,2,1,174,157,69,19,29.0,20.0,11,10,4,1,228412.0,175.0,2936955,546,20832768,1075,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,16,,,
1842,21000215403503308,88,37,18,10,6,,6.0,3.0,2,1.0,123,176,40,24.0,11,11.0,9,9,3,1,239,127,74,18,22.0,15.0,8,15,5,1,298331.0,170.0,1071370,584,2759352,1153,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,1,1,10,,,8.0
1843,21000215541869690,81,28,21,10,11,1.0,4.0,,2,1.0,126,138,52,25.0,15,15.0,9,8,3,1,386,149,73,58,18.0,36.0,16,9,5,1,190929.0,160.0,713820,567,81041199,1356,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,0,1,12,2.0,10.0,3.0
1844,21000215590366104,55,32,19,11,15,2.0,4.0,2.0,2,1.0,99,112,19,18.0,15,7.0,9,6,2,1,205,108,65,23,10.0,19.0,6,8,5,1,221231.0,149.0,686634,453,1350011,956,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,16,7.0,6.0,12.0
1845,21000216355388736,41,29,18,24,5,,6.0,,2,1.0,130,97,29,28.0,11,10.0,9,7,4,1,140,128,75,21,12.0,23.0,8,7,4,1,622033.0,132.0,54946885,495,56505969,993,0,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,1,10,7.0,27.0,40.0
1846,21000216364022520,41,35,18,10,5,,3.0,4.0,2,1.0,97,106,44,25.0,11,16.0,9,7,2,1,168,112,60,30,29.0,14.0,8,7,4,1,128219.0,121.0,556650,455,1312521,932,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,12,3.0,6.0,7.0
1847,21000216450640810,70,33,18,12,9,,3.0,3.0,2,1.0,118,111,22,27.0,11,13.0,9,12,2,1,488,132,71,32,22.0,26.0,16,11,8,1,222556.0,150.0,1203091,481,2371118,1331,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,14,,,6.0
1848,21000217025921510,63,39,18,9,9,1.0,2.0,,3,1.0,128,93,24,14.0,11,6.0,9,6,2,1,189,123,75,23,10.0,13.0,14,7,3,1,159124.0,144.0,670084,448,1627545,956,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,16,,,10.0
1849,21000217162741452,58,29,18,20,8,,4.0,3.0,4,1.0,106,154,23,16.0,12,8.0,12,9,3,1,276,116,57,23,13.0,13.0,10,9,5,1,225971.0,144.0,654509,496,1470191,1067,1,1,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1,13,,,
1850,21000217394731896,89,32,20,11,12,4.0,6.0,3.0,2,1.0,103,167,23,19.0,13,12.0,9,9,4,1,206,99,58,19,18.0,14.0,6,7,3,1,369583.0,187.0,4228232,581,5660254,1067,0,1,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,12,8.0,20.0,16.0
1851,21000218190945080,89,38,20,18,5,,3.0,2.0,3,1.0,110,184,38,19.0,12,7.0,9,11,1,1,319,107,70,31,28.0,24.0,15,11,4,1,135938.0,180.0,426338,590,1322907,1268,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,16,2.0,4.0,15.0
1852,21000218221476076,68,42,23,18,6,,2.0,2.0,3,1.0,109,141,38,31.0,13,18.0,9,7,1,1,235,112,65,26,18.0,25.0,14,7,7,1,204426.0,175.0,669315,571,2033052,1148,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,7,11.0,21.0,29.0
1853,21000218313233064,56,33,26,12,9,1.0,5.0,3.0,2,1.0,106,110,20,16.0,12,9.0,9,7,8,1,267,114,53,16,10.0,18.0,8,6,4,1,180807.0,147.0,579154,450,2728003,988,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,15,,,6.0
1854,21000218382675456,104,30,19,13,8,4.0,8.0,,3,1.0,128,110,28,28.0,11,14.0,9,8,1,1,280,134,71,43,33.0,25.0,10,14,3,1,314858.0,203.0,746815,556,88159875,1237,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1,12,14.0,8.0,29.0
1855,21000219011390732,48,30,18,9,6,1.0,6.0,2.0,3,1.0,97,80,23,21.0,11,19.0,9,7,4,1,219,115,58,22,55.0,29.0,20,15,5,1,277019.0,125.0,753569,409,1702767,990,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,15,2.0,,2.0
1856,21000219362496056,80,27,20,12,8,,3.0,1.0,2,1.0,115,99,19,13.0,12,4.0,9,6,1,1,145,126,71,16,13.0,13.0,6,6,3,1,301990.0,153.0,755211,447,1913705,899,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,9,,8.0,7.0
1857,21000220503006548,39,30,21,19,9,3.0,13.0,2.0,2,1.0,122,96,28,29.0,11,10.0,9,6,4,1,136,126,71,16,20.0,16.0,8,7,6,1,655039.0,140.0,1574903,461,2875696,906,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,1,11,2.0,2.0,
1858,21000220533028590,59,26,29,16,8,4.0,5.0,,2,1.0,143,411,59,21.0,15,39.0,9,18,4,1,360,139,72,17,64.0,14.0,8,19,3,1,526789.0,156.0,1721403,902,3386911,1662,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,7,7.0,22.0,23.0
1859,21000221173109510,82,43,20,13,9,2.0,5.0,,2,1.0,102,156,24,17.0,15,15.0,9,8,3,1,276,125,61,21,45.0,12.0,15,10,4,1,123691.0,176.0,395860,549,964862,1179,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,10,,12.0,2.0
1860,21000221460516784,48,26,18,8,5,3.0,4.0,2.0,2,1.0,103,122,52,23.0,11,19.0,9,11,4,1,136,97,61,21,21.0,22.0,14,6,3,1,257882.0,127.0,914429,518,1769482,962,0,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,13,11.0,27.0,24.0
1861,21000304224901292,53,25,21,10,8,2.0,3.0,2.0,3,1.0,114,69,22,15.0,11,3.0,9,6,2,1,129,124,77,23,3.0,20.0,8,6,4,1,476740.0,144.0,1154264,444,2450721,954,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,16,17.0,41.0,75.0
1862,21000306064154830,144,35,27,20,6,6.0,9.0,3.0,2,1.0,116,108,138,53.0,11,9.0,9,7,5,1,453,150,76,83,92.0,37.0,13,24,5,1,400154.0,256.0,1130302,729,2717748,1703,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,9,4.0,,
1863,21000306513520588,45,33,21,9,8,,6.0,3.0,2,1.0,124,77,38,19.0,12,9.0,12,6,1,1,270,135,73,33,19.0,15.0,8,8,3,1,150080.0,127.0,597123,433,3375319,1043,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,12,,2.0,9.0
1864,21000307403905308,85,52,21,12,9,2.0,2.0,2.0,3,1.0,127,123,16,11.0,11,9.0,9,8,4,1,303,143,78,16,35.0,15.0,10,16,5,1,158419.0,192.0,461561,536,1097053,1242,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,16,4.0,6.0,15.0
1865,21000308032264590,93,45,18,16,9,3.0,7.0,4.0,2,1.0,119,187,25,17.0,15,7.0,12,8,1,1,389,123,88,19,14.0,14.0,9,7,9,1,137993.0,197.0,432082,603,996402,1327,1,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1,1,1,13,,,
1866,21000308054818090,62,33,19,9,12,1.0,5.0,,2,1.0,94,90,24,19.0,12,17.0,9,6,2,1,167,106,58,22,15.0,33.0,14,6,3,1,182480.0,151.0,555715,447,1479734,927,1,1,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,11,8.0,16.0,24.0
1867,21000308113585828,39,29,24,21,8,,9.0,,2,1.0,104,84,28,18.0,12,15.0,9,7,7,1,128,107,54,18,16.0,19.0,8,7,4,1,296463.0,136.0,726536,429,1684081,823,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,13,4.0,,
1868,21000308150434260,59,40,19,11,9,1.0,3.0,3.0,2,1.0,133,114,25,20.0,11,16.0,9,7,1,1,170,121,81,16,14.0,9.0,6,7,4,1,178683.0,147.0,499056,494,1039429,984,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,12,,2.0,
1869,21000308181959570,58,34,18,9,9,,4.0,3.0,2,1.0,98,79,21,18.0,11,12.0,9,8,2,1,348,117,65,44,64.0,33.0,19,23,5,1,228494.0,139.0,656084,420,2156014,1186,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,12,2.0,2.0,9.0
1870,21000308222084024,64,28,18,15,8,,5.0,1.0,2,1.0,93,81,21,14.0,11,6.0,9,7,2,1,198,98,57,22,21.0,13.0,8,9,4,1,219564.0,141.0,557850,397,1448291,882,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,14,,2.0,4.0
1871,21000308271338664,47,34,18,8,9,1.0,5.0,2.0,2,1.0,115,203,38,19.0,11,20.0,9,8,4,1,350,122,76,13,28.0,13.0,8,9,3,1,323985.0,128.0,1105641,572,2786952,1254,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0,0,0,1,10,2.0,10.0,16.0
1872,21000308281344260,35,31,18,8,9,,7.0,1.0,2,1.0,101,89,60,22.0,11,13.0,12,10,3,1,270,108,58,27,31.0,22.0,8,10,4,1,201442.0,113.0,573823,446,2237080,1042,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,0,1,13,2.0,,19.0
1873,21000308384263430,101,29,18,8,8,,5.0,1.0,3,1.0,113,111,25,20.0,11,4.0,9,6,1,1,175,118,75,23,17.0,14.0,8,6,4,1,224870.0,173.0,592418,479,1260988,956,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,14,,,
1874,21000308445827584,64,31,19,13,6,1.0,6.0,6.0,3,1.0,126,111,93,38.0,12,16.0,9,10,4,1,469,135,74,38,23.0,26.0,14,8,4,1,695269.0,151.0,6287308,584,13424000,1422,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,14,2.0,2.0,7.0
1875,21000308474041780,65,35,18,12,9,4.0,5.0,3.0,2,1.0,128,249,32,28.0,14,41.0,9,14,1,1,342,133,77,34,14.0,23.0,18,7,5,1,425702.0,153.0,998028,680,2049413,1379,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,12,,,
1876,21000308532989096,34,30,19,8,10,1.0,3.0,,2,1.0,95,75,40,21.0,12,14.0,18,7,1,1,150,106,55,20,24.0,13.0,8,9,4,1,241817.0,109.0,696291,405,1381903,835,1,1,1,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,11,2.0,8.0,6.0
1877,21000308564086770,96,28,20,41,8,2.0,3.0,1.0,2,1.0,94,154,75,18.0,11,16.0,9,10,2,1,327,109,64,29,63.0,23.0,8,15,5,1,489588.0,205.0,1305342,607,2713356,1292,0,1,1,1,0,1,1,0,0,0,0,1,1,1,0,1,1,1,11,4.0,2.0,6.0
1878,21000308590120784,39,26,19,16,5,,6.0,2.0,2,1.0,119,197,54,22.0,20,27.0,9,9,5,1,438,149,60,25,36.0,17.0,22,16,13,1,524652.0,126.0,4788903,634,7539253,1491,0,1,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,9,11.0,38.0,42.0
1879,21000309005084530,52,32,24,8,8,5.0,3.0,2.0,2,1.0,120,111,85,49.0,14,18.0,9,10,2,1,331,109,58,18,55.0,23.0,6,14,9,1,209570.0,138.0,1566406,581,3214063,1263,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,15,2.0,13.0,22.0
1880,21000309033354884,112,31,24,33,8,2.0,8.0,4.0,2,1.0,117,330,151,47.0,18,12.0,12,9,3,1,278,115,57,54,30.0,17.0,6,9,7,1,353254.0,231.0,1129810,963,3085294,1591,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,6,7.0,25.0,23.0
1881,21000309035295000,102,42,19,9,9,,3.0,2.0,2,1.0,121,137,36,19.0,15,19.0,9,8,1,1,412,158,77,32,54.0,19.0,8,17,4,1,146164.0,188.0,558157,566,1492701,1393,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,15,,,3.0
1882,21000309061153348,94,27,23,21,8,4.0,8.0,2.0,2,1.0,110,108,54,31.0,11,20.0,9,9,6,1,269,115,58,33,43.0,30.0,15,14,4,1,809620.0,197.0,1728417,567,4234228,1192,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,12,8.0,2.0,8.0
1883,21000309071681410,52,31,18,8,6,,3.0,2.0,2,1.0,123,115,19,14.0,13,9.0,9,10,2,1,246,124,71,16,19.0,8.0,6,10,4,1,155419.0,122.0,515871,444,1261519,987,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,1,1,1,13,,,
1884,21000309074592764,40,26,20,8,5,,4.0,1.0,2,1.0,123,101,24,28.0,11,6.0,9,7,1,1,161,125,76,34,25.0,20.0,9,7,5,1,408021.0,108.0,1233257,433,2661906,938,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,14,2.0,6.0,2.0
1885,21000309082086932,62,29,19,15,5,2.0,6.0,3.0,2,1.0,116,151,97,29.0,11,26.0,9,9,1,1,250,121,79,42,13.0,19.0,10,8,7,1,271812.0,143.0,920260,603,2281820,1197,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,9,,,
1886,21000309203952680,51,27,18,6,5,3.0,3.0,3.0,2,1.0,105,121,21,24.0,13,6.0,9,7,1,1,169,106,57,15,12.0,12.0,11,7,3,1,241359.0,120.0,694945,447,1632794,895,1,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,1,11,2.0,16.0,24.0
1887,21000309274583650,63,34,18,17,12,2.0,4.0,3.0,2,1.0,102,107,81,51.0,12,14.0,9,7,3,1,315,109,57,20,50.0,22.0,8,17,8,1,302609.0,160.0,794205,561,1824369,1239,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,1,10,5.0,5.0,33.0
1888,21000309275206984,71,32,26,36,9,2.0,2.0,2.0,2,1.0,132,115,190,48.0,11,17.0,9,7,3,1,537,178,73,71,78.0,27.0,13,33,7,1,667801.0,192.0,1814079,757,4691726,1873,0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,8,10.0,27.0,64.0
1889,21000309390292576,73,26,19,13,8,,4.0,2.0,2,1.0,122,103,28,16.0,13,5.0,9,7,3,1,204,127,79,22,10.0,14.0,10,7,4,1,202711.0,147.0,661670,473,1438654,990,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,17,,4.0,
1890,21000309421676790,68,27,21,18,8,2.0,6.0,1.0,2,1.0,105,102,38,19.0,11,9.0,9,8,2,1,207,114,60,17,13.0,14.0,6,7,4,1,313951.0,160.0,675351,471,1487826,957,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,9,7.0,2.0,5.0
1891,21000309443484732,53,32,22,12,9,2.0,2.0,2.0,2,1.0,114,67,23,16.0,12,8.0,9,6,1,1,111,118,78,17,17.0,12.0,10,6,5,1,298819.0,139.0,950576,403,1795723,820,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,15,3.0,,
1892,21000309455404764,76,35,21,26,6,,2.0,1.0,2,1.0,97,196,288,86.0,14,27.0,9,16,8,1,597,135,54,46,89.0,24.0,10,33,6,1,286791.0,169.0,1347377,933,3271281,2021,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,11,,16.0,52.0
1893,21000309530836684,48,32,18,11,6,,6.0,4.0,2,1.0,92,69,39,25.0,11,19.0,9,8,3,1,136,103,56,19,22.0,17.0,11,7,4,1,303356.0,131.0,1007398,417,1947253,828,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,13,4.0,6.0,3.0
1894,21000309531750890,61,39,18,10,9,1.0,9.0,3.0,2,1.0,120,82,24,30.0,12,14.0,9,7,1,1,249,123,77,20,23.0,26.0,8,6,4,1,311141.0,154.0,869099,468,2196435,1050,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,12,2.0,,7.0
1895,21000309552957324,48,28,18,13,5,1.0,6.0,1.0,3,1.0,132,138,84,43.0,13,26.0,12,13,4,1,591,161,77,72,220.0,50.0,6,47,6,1,306872.0,123.0,3378612,607,8495168,1929,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,7,,11.0,53.0
1896,21000309553259390,76,31,21,16,9,3.0,11.0,3.0,2,1.0,116,156,47,39.0,11,29.0,12,10,2,1,305,133,81,32,42.0,26.0,16,10,5,1,566631.0,172.0,1558600,603,2909964,1297,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,11,,,3.0
1897,21000309594314850,49,25,20,10,8,3.0,4.0,1.0,2,1.0,102,89,21,20.0,11,5.0,9,6,2,1,220,113,54,18,28.0,21.0,6,15,3,1,294187.0,124.0,686021,399,2177740,915,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,15,2.0,2.0,3.0
1898,21000310013275340,92,45,18,12,5,,4.0,2.0,2,1.0,117,159,24,24.0,16,9.0,9,6,2,1,189,122,87,16,12.0,12.0,10,6,4,1,89355.0,180.0,317359,567,1166375,1085,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,16,,2.0,2.0
1899,21000310021288624,100,32,21,24,9,10.0,6.0,3.0,5,1.0,100,145,35,24.0,13,20.0,9,10,6,1,270,114,61,55,28.0,26.0,20,8,6,1,298398.0,223.0,892746,610,1687949,1251,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,14,13.0,11.0,13.0
1900,21000310032805520,60,32,18,11,8,3.0,8.0,2.0,2,1.0,137,314,49,24.0,12,37.0,9,14,3,1,287,134,75,27,18.0,21.0,8,6,5,1,326416.0,144.0,1278379,759,3036202,1397,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,11,,2.0,12.0
1901,21000310035292036,104,31,20,8,9,,3.0,4.0,2,1.0,120,76,24,17.0,17,16.0,9,7,2,1,154,142,76,28,15.0,24.0,14,8,4,1,201225.0,190.0,1340944,492,3101021,1010,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18,9.0,4.0,12.0
1902,21000310041007564,67,33,19,9,6,,3.0,2.0,2,1.0,103,215,36,24.0,11,19.0,9,11,2,1,650,119,67,73,22.0,27.0,10,9,4,1,275726.0,143.0,1571472,589,2756395,1699,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,0,1,1,11,2.0,2.0,75.0
1903,21000310060364496,80,36,24,12,6,2.0,3.0,6.0,2,1.0,103,142,91,48.0,11,22.0,9,9,4,1,269,98,60,17,42.0,22.0,12,13,3,1,210060.0,171.0,1033714,633,2793494,1238,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,1,10,,14.0,33.0
1904,21000310061974084,96,35,18,24,9,,7.0,3.0,2,1.0,107,143,22,23.0,11,9.0,9,7,4,1,340,109,59,20,68.0,13.0,8,14,4,1,624330.0,198.0,1740524,572,2584737,1265,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,10,4.0,20.0,23.0
1905,21000310111261484,129,27,18,9,8,5.0,7.0,2.0,3,1.0,93,259,104,44.0,14,28.0,9,13,2,1,642,138,61,30,63.0,23.0,6,25,4,1,458532.0,214.0,1251909,799,2871676,1861,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,1,13,6.0,8.0,28.0
1906,21000310174465612,59,34,18,6,6,1.0,3.0,1.0,2,1.0,115,70,20,10.0,11,9.0,9,6,1,1,156,126,70,14,15.0,14.0,11,8,3,1,199454.0,130.0,595828,386,1384131,843,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,16,,,4.0
1907,21000310180701210,72,39,20,11,9,4.0,5.0,,3,1.0,128,97,24,12.0,13,17.0,9,9,2,1,221,131,74,16,22.0,10.0,13,12,3,1,250582.0,163.0,549200,497,1236563,1060,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,14,,7.0,13.0
1908,21000310205858464,92,32,25,13,5,,2.0,2.0,2,1.0,129,267,108,29.0,11,11.0,9,9,5,1,462,168,77,62,108.0,18.0,14,35,6,1,210897.0,173.0,1424290,771,3961994,1764,1,1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,12,,6.0,3.0
1909,21000310221702196,52,31,21,9,6,3.0,5.0,,2,1.0,117,133,36,29.0,13,9.0,9,9,3,1,310,130,79,13,12.0,16.0,8,9,4,1,334930.0,131.0,1050783,511,3924832,1162,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,14,2.0,10.0,27.0
1910,21000310233878856,92,62,19,55,8,1.0,4.0,1.0,2,1.0,157,465,87,50.0,12,61.0,16,17,14,1,903,168,80,94,146.0,63.0,28,40,8,1,222987.0,247.0,1005494,1141,2931595,2727,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,5,4.0,7.0,5.0
1911,21000310275717810,53,27,21,20,5,4.0,6.0,2.0,2,1.0,123,71,21,29.0,11,8.0,9,6,5,1,161,125,79,20,17.0,26.0,14,7,4,1,5419947.0,146.0,14628591,447,18404912,957,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,17,6.0,8.0,16.0
